datano,fitur0,fitur1,fitur2,fitur3,fitur4,fitur5,fitur6,fitur7,fitur8,fitur9,fitur10,fitur11,fitur12,kelas
14,9.141161,-9.316043,1.232013,-3.213666,3.562437,12.235243,-0.812465,0.656224,-3.430896,-1.332783,-1.599154,1.580546,1.751964,03
15,9.689638,-14.062824,3.437048,2.495025,2.083225,5.086186,-5.420257,-2.596615,-6.990062,-2.448873,-2.355144,3.207488,1.289307,03
16,10.023317,-14.779603,-2.364158,3.499032,-0.235344,13.635393,-5.641292,6.341089,0.704024,-4.244083,-4.263611,1.258361,5.060115,03
17,2.671347,-11.050840,-0.542685,-0.690443,-0.786909,5.842875,-5.380279,1.446368,-2.442474,-7.510541,-1.503996,2.288647,0.749789,03
18,8.235495,-11.558519,3.052895,6.516744,2.659477,4.157747,4.004481,7.740233,-4.385160,-1.504569,-1.013417,-2.856921,5.201838,03
19,7.755172,-5.474964,-9.758951,0.076696,-0.321639,-2.186170,7.953670,0.140307,-3.830348,3.221944,0.202049,5.407002,-6.015759,03
20,9.890043,-9.754044,-4.009098,-4.457561,2.391004,9.669597,-7.467959,-2.131693,-4.803237,-5.554123,-7.548690,1.878767,4.356644,03
21,8.540985,-16.177867,-0.019961,-0.710260,-6.132405,6.298056,-4.248710,-1.567141,-4.984134,-3.702647,-3.078902,-0.713705,5.616815,03
22,2.452602,-11.421883,-3.157332,-0.198099,-3.621048,9.049304,-4.102019,-1.081950,-1.977206,-3.032551,-3.382399,-2.264104,3.561324,03
23,2.273819,-10.639620,-1.581168,-3.797902,-5.128733,0.906112,-7.429538,-1.335468,-6.954007,-4.681136,-1.019965,-0.551018,-0.734287,03
24,0.856606,-12.893711,-0.856312,-3.465012,1.041075,5.326055,-5.571491,0.066317,-2.901902,-2.348309,-5.217672,-2.059381,1.974292,04
25,0.495957,-8.672551,1.104345,0.418597,-2.726579,3.229905,-7.540223,2.946718,-7.392472,-3.582005,-2.093045,1.928143,-0.784992,04
26,9.479862,-10.269659,-3.491029,0.293918,-0.591762,7.483786,-4.713417,-0.731572,-10.098454,-4.811916,-0.022546,-2.076776,0.805162,04
27,3.086768,-10.597119,-3.211333,0.434050,-6.458205,3.440703,-11.685295,-1.947160,-4.867757,-8.149347,-4.998114,-1.169379,-3.519190,04
28,7.030011,-18.524362,2.043689,0.605974,0.390377,6.216582,0.148520,2.585130,0.542365,-2.844257,-3.622825,2.989264,2.915498,04
29,7.677109,-13.776249,-2.005784,-1.085988,-6.300149,5.365254,-7.705417,-3.240937,-4.847247,-6.655782,0.753041,3.618303,3.975877,04
30,4.682861,-11.912371,2.149092,1.510681,-2.522107,6.234695,-5.654542,0.344958,-3.881678,-7.651203,-3.288805,0.950800,1.807257,04
31,7.958534,-17.287993,5.217498,5.190254,2.909411,9.924223,-0.960382,6.003418,0.295210,-5.020335,-0.438049,1.055214,1.757915,04
32,1.529198,-16.894394,-0.461617,1.881311,0.955238,6.623493,-0.562216,5.027238,-1.825143,-5.330730,-2.389951,-1.034220,3.360097,04
33,9.676910,-11.213095,4.072299,2.886334,0.278943,7.998255,-11.491193,2.168525,-5.439011,-8.252595,-2.340954,1.717407,5.192166,04
34,8.257570,-17.892403,3.572272,7.955466,3.109342,5.903480,0.843643,3.194920,0.734642,0.650912,1.250341,-1.875205,-0.087157,04
35,8.661088,-15.432381,1.020020,2.604954,-3.011930,7.406752,-1.858471,6.406710,0.303179,-6.255515,-3.684716,1.236572,-2.035957,04
36,7.579309,-15.834137,3.993937,0.905637,0.050236,6.860731,0.835830,1.240492,-3.671965,-1.808115,1.383725,1.620655,3.032647,04
37,6.918861,-20.793263,-1.269295,0.839231,-1.531388,1.064758,-10.177111,1.547022,-9.229086,-5.374541,0.590215,0.302623,-0.708757,04
38,8.927743,-12.822282,2.042692,1.190121,2.000667,13.254032,0.201224,1.802514,-0.183017,0.256064,0.757478,3.479509,3.254191,04
39,2.397987,-12.701681,3.076999,0.134595,-0.253541,4.254380,-5.560887,-1.482698,-7.731371,-2.482493,-2.256767,3.216829,2.067582,04
40,9.035609,-11.016106,-1.605278,-0.428155,2.367118,10.463755,-6.439024,7.577884,5.480948,-1.945221,-7.564163,1.130414,5.180285,04
41,4.899317,-16.115201,4.480971,2.973638,-4.209725,5.951668,-9.903245,4.176737,-0.241808,-5.861423,-1.039319,-0.718882,1.546445,04
42,7.738821,-13.393047,1.414812,1.583818,-0.157681,6.165706,1.161586,8.219910,-0.270516,-4.560046,-2.298399,-1.331850,8.738942,04
43,-3.951158,-12.592623,-1.431745,0.680688,-0.541541,2.645218,-4.632954,3.473146,-4.927810,-6.487803,-1.209094,1.236177,1.080372,04
44,9.027903,-14.289752,-0.694994,0.645896,0.399056,8.720162,-8.943017,1.987408,-1.090015,-5.084075,-5.566353,0.563554,1.255295,04
45,9.186126,-13.985494,-1.966329,-1.474049,-7.371058,6.279207,-5.816106,0.631991,-3.247771,-8.350860,-1.737586,-2.812119,6.422905,04
46,7.285598,-16.544896,0.575557,0.273350,-1.693450,8.681366,-6.122202,4.756289,-4.390894,-3.802997,-0.451884,-2.459257,1.681261,04
47,0.529558,-9.746850,0.165931,0.186684,-2.951285,0.928542,-8.046645,0.460513,-6.688166,-6.707734,-1.109771,-0.366216,0.518233,04
48,8.624387,-16.290443,-3.979439,-1.061719,-0.748326,4.746652,-6.534433,2.826353,-5.991020,-1.577583,-7.308009,-1.966804,5.118637,05
49,5.501238,-11.925474,-1.839045,-0.763118,-3.380211,0.953068,-8.972230,3.545153,-7.291596,-2.826802,-2.519404,2.314120,-0.122194,05
50,9.758217,-10.840736,-9.197922,0.390136,-4.532058,8.392399,-10.234816,0.169310,-11.246512,-8.794826,-4.918796,-0.635657,0.065265,05
51,3.131366,-12.023591,-2.741697,-1.615853,-4.372688,0.159206,-9.803729,-1.340660,-4.303645,-8.419093,-4.985676,-1.401157,-3.222564,05
52,9.363210,-11.640962,1.319940,0.126003,-7.026234,10.986544,-10.315785,1.708089,-1.889735,-0.517153,-2.895975,1.522628,3.741795,05
53,10.215514,-12.301444,-7.647903,-3.400628,-6.375933,3.788160,-14.618895,-4.285300,-3.046534,-6.730596,-1.441949,1.703786,2.185467,05
54,2.799641,-9.216948,-2.186841,2.705355,-1.555003,7.706283,-8.968422,0.196147,-2.877136,-5.411766,-4.374090,2.327156,2.707955,05
55,9.504667,-14.125200,4.887233,4.281801,-0.142589,6.894139,-6.525232,7.480449,2.546495,-2.561434,-1.199053,-0.783341,0.150160,05
56,9.741035,-10.054837,-3.762361,-2.930490,-2.038857,12.056732,-2.461832,-2.966302,-1.761551,-4.382669,-7.019197,-0.377008,2.684079,05
57,11.339810,-8.148753,-0.088357,-3.066377,-4.411457,6.620265,-9.390223,3.698092,-4.382468,-9.088240,-4.114222,2.084728,7.568963,05
58,10.061499,-13.763505,2.062746,6.333165,-1.097647,5.394112,-2.872511,3.868682,-0.062965,-0.266522,1.551932,-0.782728,1.667678,05
59,9.237326,-14.977794,1.389216,3.425490,-4.107444,7.629646,-5.644827,0.406473,-2.087771,-6.771536,-2.250590,3.152604,-0.470597,05
60,9.388268,-14.416867,-2.161418,0.783185,0.432512,5.609814,-3.345941,-1.417021,-4.210158,-1.287315,-6.347804,-1.495022,3.596146,05
61,4.215321,-14.615225,-3.797839,-1.230613,-1.379328,-0.505886,-13.477389,2.157259,-6.232676,-5.289138,-1.908878,-0.649370,-1.590678,05
62,10.447123,-11.614228,1.223026,0.351976,1.455669,14.668055,-2.201546,1.776253,2.262964,2.059740,0.528987,2.336922,1.631408,05
63,3.906023,-12.024162,-1.331598,1.918536,-1.958939,0.336311,-4.906244,0.493364,-4.779079,-1.729307,-4.667615,0.112269,2.849605,05
64,9.923190,-12.990428,-2.852685,0.658354,0.578884,11.768623,-7.010481,5.959178,5.025663,-2.926339,-6.189903,0.667581,6.113843,05
65,7.126946,-14.110030,-2.977387,-1.299268,-5.309962,2.437580,-9.348721,-0.716905,-2.306424,-5.137697,-4.939395,-2.064508,2.209886,05
66,8.653447,-14.762086,-2.336233,1.795763,0.649544,4.593122,-4.045416,5.263262,-4.034975,-2.218692,-2.197431,-0.730543,6.961253,05
67,4.537884,-14.461577,-6.276505,-0.379863,-2.612298,-0.209324,-8.843130,-1.001289,-7.454653,-6.597101,-1.978515,-0.295884,-0.329097,05
68,11.709437,-9.420709,-9.799234,-1.396661,-0.101373,8.163195,-8.096885,-3.819359,-0.965744,-4.206849,-9.032831,-4.318279,3.753310,05
69,9.838282,-13.314893,-2.887156,-0.058447,-6.173370,4.580816,-6.535136,-0.072014,-5.555684,-2.603092,-1.993699,-3.458544,6.448670,05
70,6.550101,-13.961196,-2.470106,-1.928629,-2.598624,6.168700,-4.492110,-0.796906,0.576199,-1.354224,-1.196989,-1.742825,1.152897,05
71,4.960576,-11.413056,-5.962619,-2.320332,-2.913080,0.758756,-12.686901,-0.037934,-4.444605,-5.552214,-2.923872,1.312118,2.263348,05
